description,label,bridge
Development and sell real estate other wholesale,41100,RRSYS
Development and selling of real estate and investment,41100,RRSYT
Development and selling of real estate and property management,41100,RRSYU
Development and selling of real estate and supply of serviced offices,41100,RRSYV
Development and selling of real estate construction site,41100,RRSYW
Development of commercial and residential land,41100,RRSYX
Development of real estate,41100,RRSYY
Consulting actuaries,66290,RRSZQ
General and life insurance brokers independent,66220,RRSZT
General insurance broker,66220,RRSZU
General insurance intermediary,66220,RRSZV
Independent insurance broker,66220,RRSZX
Commercial insurance consultants,66220,RRSZZ
Property dealing and investment,41100,RRTQQ
Property developer and investment,41100,RRTQR
Property developers and investors,41100,RRTQS
Property developers and managers,41100,RRTQT
Property developers and owners,41100,RRTQU
Property developing,41100,RRTQV
Property development,41100,RRTQW
Property development and investment,41100,RRTQX
Property development and investment company,41100,RRTQY
Property dealing,41100,RRTQZ
Property development building new houses,41100,RRTRQ
Property development company,41100,RRTRR
Property development management and investment,41100,RRTRS
Property investment,41100,RRTRT
Property investment and trading,41100,RRTRW
Property investors,41100,RRTRX
Property trading and investment company,41100,RRTRY
Property development and management,41100,RRTRZ
Residential development,41100,RRTSQ
Residential property developer,41100,RRTSR
Residential property investment,41100,RRTSS
The buying and selling of residential building land for and to the industry,68100,RRTSU
Conference and training venue,68202,RRTSV
Exhibition centre letting self owned,68202,RRTSW
Letting of conference centre,68202,RRTSX
Local authority market,68209,RRTSY
Residential developer,41100,RRTSZ
Building of investment properties letting of investment properties,68209,RRTTQ
Charitable housing agency,68201,RRTTS
Charitable housing association,68201,RRTTT
Charitable housing association (social landlord),68201,RRTTU
Charity providing housing for the elderly as a registered social landlord,68201,RRTTV
Church hall available for community use at a rental income,68209,RRTTW
Commercial offices to let,68209,RRTTX
Commercial property owners,68209,RRTTY
Area housing office,68209,RRTTZ
Community based provider of rehabilitation property for rent,68209,RRTUQ
Furnished letting,68209,RRTUS
Furnished lettings,68209,RRTUT
General let properties,68209,RRTUU
Hall for hire,68209,RRTUV
Hiring of portable buildings,68209,RRTUW
Housing association,68201,RRTUX
Housing association for the aged,68201,RRTUY
Community based housing association providing rent accommodation,68201,RRTUZ
Housing association providing rental social housing,68201,RRTVQ
Housing association providing special needs accommodation,68201,RRTVR
Housing association rental flats,68201,RRTVS
Housing association renting of properties,68201,RRTVT
Housing association sheltered scheme,68201,RRTVU
Housing association social landlord,68201,RRTVV
Housing association special needs rental of houses,68201,RRTVW
Housing association the management and development of rented housing,68201,RRTVX
Housing landlord,68209,RRTVY
Housing association provide housing for single men and women with special needs,68201,RRTVZ
Industrial property letting,68209,RRTWQ
Landlords of shopping centre,68209,RRTWR
Leasing letting of units offices warehouses on the site,68209,RRTWS
Let out furnished offices,68209,RRTWT
Letting and managed housing accommodation,68209,RRTWU
Letting and management of own property,68209,RRTWV
Letting and managing housing association,68201,RRTWW
Letting of accommodation to nhs staff,68209,RRTWX
Letting of commercial and residential properties,68209,RRTWY
Industrial estate,68209,RRTWZ
Letting of own property,68209,RRTXQ
Letting of own property other than conference and exhibition centres,68209,RRTXR
Letting of shop premises,68209,RRTXS
Letting serviced apartments,68209,RRTXT
Local authority commercial property rental,68209,RRTXU
Local authority property rental domestic,68209,RRTXV
Management and letting of sheltered housing,68201,RRTXW
Non profit making housing association rental of houses,68201,RRTXX
Open air market,68209,RRTXY
Letting of industrial premises,68209,RRTXZ
Other letting of own property operating leases,68209,RRTYQ
Other letting of property,68209,RRTYR
Other lettings of own property,68209,RRTYS
Own property lettings,68209,RRTYT
Owning and leasing commercial premises,68209,RRTYU
Owning and leasing commercial properties,68209,RRTYV
Private retirement flats (leasehold),68209,RRTYW
Property landlords,68209,RRTYX
Property letting company,68209,RRTYY
Other letting of own property (hq),68209,RRTYZ
Housing developer,41100,RRTZQ
Invest or deal in developing property land and buildings,41100,RRTZR
Land and property development,41100,RRTZS
Land developer,41100,RRTZT
Land development,41100,RRTZU
Land management,41100,RRTZV
Private housing development,41100,RRTZW
Private property developer,41100,RRTZX
Property dealers developers and letting of commercial and residential proper,41100,RRTZY
Estate developers,41100,RRTZZ
Provision of supported housing for those in housing need,68201,RRUQQ
Provision of public hall for hire provision of leisure activities,68209,RRUQR
Provision of special needs housing,68201,RRUQS
Purchase and letting of property,68209,RRUQT
Registered social land lord providing rented accommodation,68209,RRUQU
Registered social landlord,68209,RRUQV
Registered social landlord (sheltered residential scheme),68201,RRUQW
Registered social landlord managing rented accommodation,68209,RRUQX
Registered social landlord rented housing at affordable rents,68209,RRUQY
Provision and management of rented social housing,68209,RRUQZ
Rental of own accommodation,68209,RRURQ
Rental of own flats,68209,RRURR
Rental of units,68209,RRURS
Rented housing accommodation,68209,RRURT
Renting office and shop units,68209,RRURU
Renting out office space on behalf of its charity owner,68209,RRURV
Renting own property,68209,RRURW
Residential letting,68209,RRURX
Residential letting for individuals requiring supported living,68201,RRURY
Rental of office space,68209,RRURZ
Residential property letting management,68209,RRUSQ
Residential social landlord,68209,RRUSR
Rural estate including let property,68209,RRUSS
Serviced office centre,68209,RRUST
Serviced office providers,68209,RRUSU
Social housing,68201,RRUSV
The letting of investment property under assured tenancy agreements,68209,RRUSW
Timeshare sales,68209,RRUSX
Village hall  (rental of space),68209,RRUSY
Residential property leasing and management,68209,RRUSZ
Letting of business units,68209,RRUTQ
Area housing management,68201,RRUTS
Hire of sited portacabins,68209,RRUTT
Charitable housing trust,68201,RRUTU
Charitable residential accommodation,68201,RRUTV
Charity housing single homeless people,68201,RRUTW
Livery yard,68209,RRUTX
Stabling and livery of horses and ponies,68209,RRUTY
Landlords for student accommodation,68209,RRUTZ
Apartment hotel letting,68310,RRUUQ
Auctioneer and estate agents,68310,RRUUR
Auctioneers estate agents surveyors valuers,68310,RRUUS
Auctioneers valuers and estate agents,68310,RRUUU
Auctioneers valuers land agents surveyors,68310,RRUUV
Auctioneers valuers land and estate agents,68310,RRUUW
Auctioneers valuers property agents,68310,RRUUX
Bar and conference hire,68310,RRUUY
Other letting of own property,68209,RRUUZ
Chartered building surveyors project co-ordinators,68310,RRUVQ
Chartered property valuation surveyors,68310,RRUVR
Chartered surveyor estate agent and valuer,68310,RRUVS
Chartered surveyor estate agents and property managers,68310,RRUVT
Chartered surveyors agricultural and general auctioneers,68310,RRUVU
Chartered surveyors agricultural land and estate agents,68310,RRUVV
Chartered surveyors and estate agents,68310,RRUVW
Chartered surveyors and estate agents and auctioneers,68310,RRUVX
Chartered surveyors and independent estate agents,68310,RRUVY
Chartered surveyors and land agents,68310,RRUWQ
Chartered surveyors and property consultants,68310,RRUWR
Chartered surveyors and property valuers,68310,RRUWS
Chartered surveyors and real estate consultants,68310,RRUWT
Chartered surveyors commercial estate agents valuers and property managers,68310,RRUWU
Chartered surveyors commercial property managers property consultants,68310,RRUWV
Chartered surveyors estate agents auctioneers valuers,68310,RRUWW
Chartered surveyors land agents estate agents property consultants,68310,RRUWX
Chartered surveyors land and estate agents,68310,RRUWY
Chartered surveyors and international real estate advisers,68310,RRUWZ
Chartered surveyors property consultants estate agents,68310,RRUXQ
Chartered surveyors property management planning and development,68310,RRUXR
Chartered surveyors surveying and valuation property management and some estate agency,68310,RRUXS
Chartered surveyors valuers estate agents land agents letting,68310,RRUXT
Chartered valuation surveyors and estate agents,68310,RRUXU
Commercial estate agency,68310,RRUXV
Commercial estate agent,68310,RRUXW
Commercial estate agent providing professional and technical services,68310,RRUXX
Commercial property adviser,68310,RRUXY
Commercial property agents,68310,RRUYQ
Commercial property consultancy,68310,RRUYR
Commercial property consultants,68310,RRUYS
Commercial property services and chartered surveyors,68310,RRUYT
Commercial property surveyors,68310,RRUYU
Commercial property surveyors and planning consultants,68310,RRUYV
Commercial surveyors and property agents,68310,RRUYW
Commercial surveyors and property consultants,68310,RRUYX
Consultant surveyors land agents valuers auctioneers and estate agents,68310,RRUYY
Commercial property agency,68310,RRUYZ
Property ownership and management,68209,RRUZQ
Property owning and letting,68209,RRUZR
Property owning and management,68209,RRUZS
Property owning and managing,68209,RRUZT
Property owning company,68209,RRUZU
Provide low cost housing properties for rent,68209,RRUZV
Providing supported homes for adults with special needs,68201,RRUZW
Providing supported housing service for people with learning disabilities,68201,RRUZX
Providing permanent supported homes for people with mental health problems,68201,RRUZY
Property ownership and letting,68209,RRUZZ
Estate agent lettings and financial services,68310,RRVQQ
Estate agent sales,68310,RRVQR
Estate agents and letting agents,68310,RRVQS
Estate agents and property management,68310,RRVQT
Estate agents and property managers,68310,RRVQU
Estate agents and surveyors,68310,RRVQV
Estate agents and travel agents,68310,RRVQW
Estate agents and valuers,68310,RRVQX
Estate agent and mortgage consultant,68310,RRVQZ
Estate agents commercial property agent auctioneers surveyors valuers,68310,RRVRQ
Estate agents financial advisors,68310,RRVRR
Estate agents financial services chartered surveyors,68310,RRVRS
Estate agents financial services surveys,68310,RRVRT
Estate agents lettings and management,68310,RRVRU
Estate agents mortgage insurance brokers,68310,RRVRV
Estate agents new homes,68310,RRVRW
Estate agents site sales office selling new homes,68310,RRVRX
Estate agents valuers and financial services,68310,RRVRY
Estate agents auctioneers valuers survey,68310,RRVRZ
Estate agents valuers surveyors and auctioneers commercial and management agents,68310,RRVSQ
House sales and valuations,68310,RRVSR
Independent international property consultants,68310,RRVSS
Land and estate agent,68310,RRVST
Land and property auctioneers,68310,RRVSU
Letting agency,68310,RRVSV
Letting agents and managing housing accommodation,68310,RRVSW
Lettings agents,68310,RRVSX
Lettings and management of residential property on a fee or contract basis,68310,RRVSY
Estate agents valuers letting agents,68310,RRVSZ
Management activities estate agents,68310,RRVTQ
Office lettings of real estate agency,68310,RRVTR
Property advisers,68310,RRVTS
Property agents,68310,RRVTT
Property auctioneers,68310,RRVTU
Property consultancy,68310,RRVTV
Property consultants,68310,RRVTW
Property consultants and estate agents,68310,RRVTX
Property dealers,68310,RRVTY
Licensed property valuers,68310,RRVTZ
Property sales,68310,RRVUQ
Property surveyors,68310,RRVUR
Provision of quality housing for rent,68310,RRVUS
Real estate,68310,RRVUT
Real estate agency residential lettings,68310,RRVUU
Real estate and letting agency,68310,RRVUV
Real estate and lettings agency,68310,RRVUW
Real estate surveyors auctioneers,68310,RRVUX
Renting and management of industrial property,68310,RRVUY
Commercial 'property rental agents,68310,RRVUZ
Residential estate agency,68310,RRVVQ
Residential estate agents,68310,RRVVR
Residential furnished letting agents,68310,RRVVS
Residential house sales agency,68310,RRVVT
Residential lettings agency,68310,RRVVU
Residential lettings and property management,68310,RRVVV
Residential property letting agency,68310,RRVVW
Residential property sales letting management,68310,RRVVX
Residential sales and letting agents,68310,RRVVY
Residential and commercial estate agents,68310,RRVVZ
Residential sales lettings estate agents,68310,RRVWQ
Residential sales surveyors land agents,68310,RRVWR
Residential surveying,68310,RRVWS
Residential surveyors,68310,RRVWT
Survey valuation,68310,RRVWU
Surveying and property management,68310,RRVWV
Surveying and valuing of residential and commercial properties and selling residential houses,68310,RRVWW
Surveyors and valuers land and estate agents,68310,RRVWX
Surveyors auctioneers and estate agents,68310,RRVWY
Residential sales lettings and management,68310,RRVWZ
Surveyors surveyor valuers and estate agents,68310,RRVXQ
Surveyors valuers and estate agents agene,68310,RRVXR
Valuation surveyors and estate agents,68310,RRVXS
Estate agency support services,68310,RRVXT
Area housing management office,68320,RRVXU
Building services facilities management,81100,RRVXV
Collection and processing of rent rates from local authorities,68320,RRVXW
Commercial property management,68320,RRVXX
Commercial property management surveying and valuations,68320,RRVXY
Surveyors land agents valuers auctioneers and estate agents,68310,RRVXZ
Estate management,68320,RRVYQ
Facilities management contract,81100,RRVYR
Flat management,68320,RRVYS
General facilities management,81100,RRVYT
Hospital facilities management,81100,RRVYU
Housing management,68320,RRVYV
Housing management and maintenance on a fee or contract basis,68320,RRVYW
Local authority facilities management,81100,RRVYX
Management company specialising in sheltered housing,68320,RRVYY
Commercial property managers,68320,RRVYZ
Estate agencies,68310,RRVZR
Estate agency and financial services,68310,RRVZS
Estate agency and surveying,68310,RRVZT
Estate agency lettings,68310,RRVZU
Estate agency office,68310,RRVZV
Estate agency surveyors,68310,RRVZW
Estate agency valuers and surveyors,68310,RRVZX
Estate agent and building society agency,68310,RRVZY
Consultant surveyors valuers auctioneers,68310,RRVZZ
Property managers,68320,RRWQQ
Provider of management of a clients facilities property,68320,RRWQR
Provision of management services for buildings,68320,RRWQS
Provision of property management consultancy services,68320,RRWQT
Purchasing facilities management,81100,RRWQU
Rent and council tax collection,68320,RRWQV
Rent collection,68320,RRWQW
Residents property management company,68320,RRWQX
Site facilities management,81100,RRWQY
Property management industrial and commercial,68320,RRWQZ
Total facilities management contract,81100,RRWRQ
Car and light van rental,77110,RRWRR
Car and van hire,77110,RRWRS
Car and van rental,77110,RRWRT
Car and van rental self drive,77110,RRWRU
Car hire,77110,RRWRV
Car hire and fleet management,77110,RRWRW
Car hire and garage,77110,RRWRX
Car hire brokerage placing car hire bookings with various suppliers around the world,77110,RRWRY
Tenants association,68320,RRWRZ
Car rental,77110,RRWSQ
Car rental branch,77110,RRWSR
Car rental company,77110,RRWSS
Car rental self hire,77110,RRWST
Car van and minibus hire,77110,RRWSU
Contract hire facilities car fleet management contract hire maintenance agreements,77110,RRWSV
Contract hire of cars,77110,RRWSW
Contract hire of motor vehicles,77110,RRWSX
Courtesy car provider for the insurance industry,77110,RRWSY
Car leasing company,77110,RRWSZ
Hire of cars and commercial vehicles self drive,77110,RRWTQ
Hire of motor vehicles sale and service of vehicle,77110,RRWTR
Leasing of motor vehicles,77110,RRWTS
Minibus hire only,77110,RRWTT
Private car hire,77110,RRWTU
Rental of automobiles,77110,RRWTV
Rental of automotive,77110,RRWTW
Rental of self-drive vehicles,77110,RRWTX
Retailing of self drive car hire services,77110,RRWTY
Executive car hire,77110,RRWTZ
Self drive hire,77110,RRWUQ
Self drive hire operator,77110,RRWUR
Short term car rental,77110,RRWUS
Vehicle contract hire and leasing,77110,RRWUT
Vehicle contract hire leasing self drive,77110,RRWUU
Vehicle fleet management,77110,RRWUV
Vehicle rental,77110,RRWUW
Vehicle rental franchise operator,77110,RRWUX
Caravan rental,77390,RRWUY
Self drive car and van hire,77110,RRWUZ
Commercial vehicle contract hire,77120,RRWVQ
Commercial vehicle hire without driver,77390,RRWVR
Commercial vehicle rental,77120,RRWVS
Contract hire and rental of commercial vehicles,77390,RRWVT
Fork truck hire sales and service and parts,77390,RRWVU
Rental of trailers,77120,RRWVV
Renting of rail vehicles and equipment,77390,RRWVW
Trailer leasing,77120,RRWVX
Truck and trailer hire self drive,77120,RRWVY
Asset rental truck hire without driver,77120,RRWVZ
Truck rental self drive,77120,RRWWQ
Truck rentals,77120,RRWWR
Van and truck hire,77120,RRWWS
Bulk earthmoving plant hire,43999,RRWWT
Construction plant hirer contractor without operator,77320,RRWWU
Construction tool equipment hire without operator,77320,RRWWV
Construction equipment hire,77320,RRWWW
Construction plant and tool hire,77320,RRWWX
Construction plant hire self drive or operated,77320,RRWWY
Truck rental contract hire,77120,RRWWZ
Construction plant hire without operator,77320,RRWXQ
Construction plant hirer contract without operator,77320,RRWXR
Crane and plant hire,77320,RRWXS
Crane hire construction,77320,RRWXU
Crane hire depot without operator,77320,RRWXV
Crane hire only,77320,RRWXW
Hire and sale of non mechanical plant,77320,RRWXX
Hire of compressors for construction,77320,RRWXY
Hire of lifting gear power tools welders and associate equipment,77320,RRWYQ
Hire of lifting gear power tools welders,77320,RRWYR
Hire of plant machinery in engineering industry,77320,RRWYS
Hire of power tools to the construction industry,77320,RRWYT
Hire of survey equipment,77320,RRWYU
Hire sale of small tools equipment,77320,RRWYV
Hiring out machinery for use in the construction industry,77320,RRWYW
Plant and tool hire without operator,77320,RRWYX
Plant and equipment hire without operator,77320,RRWYY
Hire of earthmoving plant equipment,77320,RRWYZ
Management of rented properties,68320,RRWZQ
Management of shopping centres,68320,RRWZR
Management services improvement of property,68320,RRWZS
Managing agents for property,68320,RRWZT
Premises management on a fee or contract basis,68320,RRWZU
Property maintenance and minor works,68320,RRWZV
Property management,68320,RRWZW
Property management and development farming and forestry,68320,RRWZX
Property management and lettings,68320,RRWZY
Management of block of flats,68320,RRWZZ
Tool hire depot,77320,RRXQQ
Tool hire outlet,77320,RRXQR
Computer leasing,77330,RRXQS
Leasing and sale of computer equipment,77330,RRXQT
Leasing of office equipment,77330,RRXQU
Leasing of office machinery and equipment including computers,77330,RRXQV
Renting of office machinery,77330,RRXQW
Renting of various office equipment providing maintenance for telephone systems also installations,77330,RRXQX
Amusement machine suppliers rental of amusement machines to public houses,77390,RRXQY
Small plant and tool hire,77390,RRXQZ
Coin operated amusement equipment rentals,77390,RRXRQ
Contract hire of material handling equipment,77390,RRXRR
Fork lift hire self drive,77390,RRXRS
Generator and electrical equipment hire,77390,RRXRT
Generator hirers,77390,RRXRU
Hire of communication equipment,77390,RRXRV
Hire of generators,77390,RRXRW
Hire of portable traffic lights,77390,RRXRX
Hire of television broadcast equipment,77390,RRXRY
Audio equipment hire,77390,RRXRZ
Hire sales service of industrial environmental control equipment,77390,RRXSQ
Hirer of audio and visual presentation equipment,77390,RRXSR
Hirers of coin operated amusement machines,77390,RRXSS
Hirers of coin operated amusement machines cigarette vend machines operator,77390,RRXST
Hirers of coin operated amusement machines to site locations mostly,77390,RRXSU
Pump hire,77390,RRXSV
Rental of amusement equipment,77390,RRXSW
Rental of camera equipment to film and television industries,77390,RRXSX
Rental of gaming equipment to the licensed trade,77390,RRXSY
Hire of traffic control sets,77390,RRXSZ
Renting amusement machines,77390,RRXTQ
Renting of catering equipment and furniture to the catering and event industry,77390,RRXTT
Renting of gaming machines,77390,RRXTU
Renting of specialised medical equipment,77390,RRXTV
Renting out of mri medical equipment to hospitals,77390,RRXTW
Renting out of mri medical equipment to hospitals provision of mri service without operator,77390,RRXTX
Small industrial plant hire,77390,RRXTY
Rental of oilfield equipment,77390,RRXTZ
Theatre lighting hire,77390,RRXUQ
To supply amusement machines to the leisure industry,77390,RRXUR
Traffic signal and floodlight hirer,77390,RRXUS
Audio visual equipment hire and delivery,77390,RRXUT
Tanning beds rental (commercial use),77390,RRXUU
Bicycle hire and sales,77210,RRXUV
Costume hire,77210,RRXUW
Hire of marquees and ancillary equipment,77210,RRXUX
Hire of marquees and associated equipment,77210,RRXUY
Suppliers of coin operated childrens rides to the leisure industry,77390,RRXUZ
Hire sound equipment,77210,RRXVQ
Hirers of props to television and film industry,77210,RRXVR
Hirers of tent and marquees,77210,RRXVS
Hiring out marquees,77210,RRXVT
Marquee contractors,77210,RRXVU
Marquee tent hire,77210,RRXVV
Musical equipment rental and supporting services,77210,RRXVW
Rental of professional audio and recording equipment and musical instruments,77210,RRXVX
Hire tv and video equipment,77291,RRXVY
Hire of sound equipment and speakers,77210,RRXVZ
Television hire,77291,RRXWQ
Television rental,77291,RRXWR
Television rental branch,77291,RRXWS
Tv and video rental and retail,77291,RRXWT
Tv hire,77291,RRXWU
Tv radio rental,77291,RRXWV
Tv rental,77291,RRXWW
Tv rental showroom,77291,RRXWX
Film hire with tanning salon,77220,RRXWY
Renting of radios televisions and video recorders,77291,RRXWZ
Renting of video films,77220,RRXXQ
Retail video rental and sales,77220,RRXXR
Video and dvd rental,77220,RRXXS
Video film hire,77220,RRXXT
Video film rental,77220,RRXXU
Video hire,77220,RRXXV
Video rental,77220,RRXXW
Video rental shop,77220,RRXXX
Video rental store,77220,RRXXY
Renting dvds and vhs videos,77220,RRXXZ
Video tape hire,77220,RRXYQ
Video tape hire and computer games retail shop,77220,RRXYR
Video tape rental sun bed rental,77220,RRXYS
Amusement machine rentals,77299,RRXYT
Dress hire,77299,RRXYU
Formal hire-gents clothing,77299,RRXYV
Garment rental services,77299,RRXYW
Garment rental uniform supply,77299,RRXYX
Garment work wear rental and laundry,77299,RRXYY
Video shop,77220,RRXYZ
Plant hire without operators,77320,RRXZQ
Plant hire without staff,77320,RRXZR
Plant hire-operated plant working in construction industry,77320,RRXZS
Plant hirers,77320,RRXZT
Rental of construction and civil engineering machinery and equipment,77320,RRXZU
Rental of drilling equipment,77320,RRXZV
Renting construction equipment without operator,77320,RRXZW
Renting of civil engineering machinery and equipment,77320,RRXZX
Small const plant hire without operator,77320,RRXZY
Plant and tool hire,77320,RRXZZ
Linen laundry service,77299,RRYQQ
Loans of aids to elderly and disabled,77299,RRYQR
Mens hire,77299,RRYQS
Menswear hire,77299,RRYQT
Tailors and formal dress wear hire,77299,RRYQU
Textile linen rental company,77299,RRYQV
Textile rental,77299,RRYQW
Textile rental area office,77299,RRYQX
Work wear rental,77299,RRYQY
Tanning beds rental (domestic use),77299,RRYRQ
Computer consultancy and the sale of computer hardware,62020,RRYRR
Computer consultancy hardware diagnosis software development,62020,RRYRS
Computer hardware and software supply and consultancy,62020,RRYRT
Computer hardware consultancy,62020,RRYRU
Consultancy design procurement installation and support of network it hardware and infrastructure,62020,RRYRV
Consultancy of computer hardware systems,62020,RRYRW
Hardware and software consultancy,62020,RRYRX
Hardware and software consultancy onsite support computer hardware and software install maintenance,62020,RRYRY
Supply and hire of linen,77299,RRYRZ
Computer software publishing,58290,RRYSQ
Software publisher,58290,RRYSR
Accounting software programming,62012,RRYSS
Administration services software computer consultancy,62020,RRYST
Business software specialists and suppliers of associated services,62012,RRYSU
Cad cam software manufacture,62012,RRYSV
Company installs software packages for firms and provide labour only,62090,RRYSW
Compiling and testing safety critical software,62020,RRYSX
Computer analysis,62020,RRYSY
Hardware and software consultancy software developer,62020,RRYSZ
Computer analysis and programming consultancy,62020,RRYTQ
Computer analysis and programming services,62020,RRYTR
Computer analyst,62020,RRYTS
Computer analyst programmer,62012,RRYTT
Computer analyst programming,62012,RRYTU
Computer and management consultants,62020,RRYTV
Computer bureau,62020,RRYTW
Computer bureau services,62020,RRYTX
Computer consultancy,62020,RRYTY
Computer analysis and programming,62020,RRYTZ
Computer consultancy and parent undertaking,62020,RRYUQ
Computer consultancy and programming,62020,RRYUR
Computer consultancy and programming services,62020,RRYUS
Computer consultancy and secretarial services,62020,RRYUT
Computer consultancy and software development,62020,RRYUU
Computer consultancy and software house,62020,RRYUV
Computer consultancy and software services,62020,RRYUW
Computer consultancy and website design,62012,RRYUX
Computer consultancy computer software internet services,62012,RRYUY
Computer consultancy and computer software and systems development,62020,RRYUZ
Computer consultancy services,62020,RRYVQ
Computer consultancy supplier of computer software,62020,RRYVR
Computer consultancy training and programming,62020,RRYVS
Computer consultancy training and software development,62020,RRYVT
Computer contractor,62012,RRYVU
Computer disaster recovery service,62090,RRYVV
Computer graphics,62011,RRYVY
Computer consultancy management consultancy sale of computer software,62020,RRYVZ
Computer programming and sales,62012,RRYWR
Computer programming and systems analysis,62012,RRYWS
Computer programming consultants,62020,RRYWT
Computer programming mainly for the health service,62012,RRYWU
Computer programming services,62012,RRYWV
Computer services software consultancy and supply,62020,RRYWW
Computer software,62012,RRYWX
Computer software analysis,62020,RRYWY
Computer programmers,62012,RRYWZ
Computer software and hardware consultancy,62020,RRYXQ
Computer software and systems house,62012,RRYXS
Computer software company,62020,RRYXT
Computer software consultancy agency and supply,62020,RRYXU
Computer software consultancy and contract suppliers,62020,RRYXV
Computer software consultancy and programming,62020,RRYXW
Computer software consultancy and related services,62020,RRYXX
Computer software consultancy and supply,62020,RRYXY
Computer software and associated services,62012,RRYXZ
Computer software consultants and related services,62020,RRYYQ
Computer software contractor,62012,RRYYR
Computer software creation and support,62012,RRYYS
Computer software design,62012,RRYYT
Computer software design and consultancy,62012,RRYYU
Computer software design and development,62012,RRYYV
Computer software design and production,62012,RRYYW
Computer software design for stockbrokers,62012,RRYYX
Computer software designers,62012,RRYYY
Computer software consultants,62020,RRYYZ
Hire of furniture carpets and floral for the exhibition industry,77299,RRYZQ
House plant rental garden maintenance,77299,RRYZR
Laundry and textile rental,77299,RRYZS
Linen garment hire service,77299,RRYZT
Linen hire,77299,RRYZU
Linen hire and contract laundry,77299,RRYZV
Linen hire and laundry for restaurant and hotels,77299,RRYZX
Linen hire company,77299,RRYZY
Hire of furniture and carpets for the exhibition industry,77299,RRYZZ
Worldwide courier service distribution newspapers,53202,RRZQQ
Airtime service provider,61900,RRZQR
Area sales office for communication equipment,61900,RRZQS
Automatic telephone exchange,61100,RRZQT
British telecom,61100,RRZQU
Broadband provision,61200,RRZQV
Bt provision of telecommunications,61100,RRZQW
Bt telecommunications,61100,RRZQX
Bt telephone exchange,61100,RRZQY
Uk overnight courier services,53202,RRZQZ
Cable television and telephone services,61100,RRZRQ
Cable tv and telecommunications,61100,RRZRR
Cable tv telephone and internet services,61100,RRZRS
Cable tv telephony and internet services,61100,RRZRT
Cellular airtime service provider,61200,RRZRU
Cellular mobile communications,61200,RRZRV
Cellular mobile telecommunications,61200,RRZRW
Cellular telephone airtime provider,61200,RRZRX
Chat services and competitions,61900,RRZRY
Cable communications,61100,RRZRZ
Communications consultancy,61900,RRZSQ
Communications sales and support,61900,RRZSR
Data communications,61900,RRZSS
Data networks voice networks,61900,RRZST
Dedicated internet access complex managed hosting and application services,61200,RRZSU
Internet domain name registry,61900,RRZSV
Internet access,61200,RRZSW
Internet cafe,61900,RRZSX
Internet hosting services,61200,RRZSY
Communication engineer,61900,RRZSZ
Internet service provider,61200,RRZTQ
It network services provider,61900,RRZTR
Network service providers,61900,RRZTT
Provision of mobile telephone services,61200,RRZTU
Public telephone service,61100,RRZTV
Running mobile phone network,61200,RRZTW
Satellite communications primarily to betting shops,61300,RRZTX
Satellite earth station,61300,RRZTY
Internet provision,61200,RRZTZ
Telecom service provider,61900,RRZUQ
Telecomm provider,61900,RRZUR
Telecommunication,61900,RRZUS
Telecommunication services,61900,RRZUT
Telecommunications provider,61100,RRZUU
Telecommunications solutions provider,61900,RRZUW
Telecommunications switch,61100,RRZUX
Telephone call management and billing system,61900,RRZUY
Telecom networks support,61900,RRZUZ
Internet cafes (predominantly internet),61900,RRZVQ
Audio conferencing and video conferencing services provider,61100,RRZVR
Conference production audio visual hire,61100,RRZVS
Authorised bank,64191,RRZVU
Authorised bank branch,64191,RRZVV
Authorised bank branch office,64191,RRZVW
Authorised bank office,64191,RRZVX
Wireless communications company,61200,RRZVZ
Bank london branch of an austrian bank,64191,RRZWQ
Banking and commercial finance,64191,RRZWR
Banking finance,64191,RRZWS
Banking office,64191,RRZWU
Banking retail corporate discounting asset finance,64191,RRZWV
Deposit taking banking service,64191,RRZWW
Clearing bank,64191,RRZWX
Commercial banking (deposit taking),64191,RRZWY
Banking and finance services,64191,RRZXQ
Banking and financial services,64191,RRZXR
International bank,64191,RRZXS
Military banking facility,64191,RRZXY
Core corporate bank,64191,RRZXZ
Retail banking,64191,RRZYQ
Building society admin centre and branch,64192,RRZYR
Building society agency,64192,RRZYS
Building society agents,64192,RRZYT
Building society and mortgage services,64192,RRZYU
Building society bank,64192,RRZYV
Building society branch office,64192,RRZYW
Building society central admin office,64192,RRZYX
Building society retail branch,64192,RRZYY
Private banking,64191,RRZYZ
Parcel delivery and collection service,53202,RRZZQ
Parcels freight,53202,RRZZR
Same day courier,53202,RRZZS
Same day national courier service,53202,RRZZT
Same day nationwide delivery service,53202,RRZZU
Same day next day and international courier business,53202,RRZZV
Secure overnight parcels carrier,53202,RRZZW
Specialist small parcels carrier,53202,RRZZX
Uk and international couriers,53202,RRZZY
Parcel delivery,53202,RRZZZ
Software consultancy and supply,62020,RSQQQ
Software consultancy and supply. also supply of printing services,62020,RSQQR
Software consultancy and training,62020,RSQQS
Software consultancy control system software development specialists,62020,RSQQT
Software consultancy services,62020,RSQQU
Software consultancy software training software supply,62020,RSQQV
Software consultancy testing services,62020,RSQQW
Software consulting,62020,RSQQX
Software design for product range,62012,RSQQY
Software design service consultancy for healthcare industry,62012,RSQRQ
Software developers supply and consultancy,62012,RSQRS
Software development and marketing,62012,RSQRT
Software development and sales,62012,RSQRU
